epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,80.5138,1.44648,1.80706,1.40725,0.62262,0.30411,0.37489,0.18053,1.96609,2.44144,1.90001,0.000404375,0.000404375,0.000404375
43,81.9955,1.39026,1.72235,1.42139,0.51879,0.33065,0.38047,0.21841,1.95113,2.49603,1.85806,0.00038375,0.00038375,0.00038375
44,83.8252,1.42534,1.76334,1.42462,0.36572,0.34561,0.3645,0.2015,1.94065,2.46761,1.81056,0.000363125,0.000363125,0.000363125
45,85.5927,1.38455,1.74474,1.36847,0.70939,0.2793,0.38123,0.20389,1.94151,2.39583,1.78139,0.0003425,0.0003425,0.0003425
46,87.3763,1.40745,1.70198,1.39524,0.67401,0.29716,0.39192,0.20039,1.98139,2.228,1.81451,0.000321875,0.000321875,0.000321875
47,89.7158,1.39447,1.651,1.36348,0.41984,0.40158,0.40128,0.20649,1.96562,2.17991,1.82207,0.00030125,0.00030125,0.00030125
48,91.7251,1.38546,1.64803,1.32798,0.40878,0.46736,0.41309,0.20724,1.95545,2.15625,1.82037,0.000280625,0.000280625,0.000280625
49,93.32,1.38303,1.66848,1.35467,0.44892,0.4518,0.41862,0.20728,1.93909,2.14724,1.80905,0.00026,0.00026,0.00026
50,94.9916,1.30254,1.56671,1.33864,0.40213,0.48082,0.41175,0.20848,1.9432,2.18869,1.81939,0.000239375,0.000239375,0.000239375
51,98.3632,1.29592,1.64412,1.35736,0.39994,0.48979,0.43693,0.23511,1.95486,2.20453,1.82252,0.00021875,0.00021875,0.00021875
52,100.868,1.20957,1.53195,1.31608,0.47738,0.40983,0.46029,0.24503,2.00993,2.23235,1.86341,0.000198125,0.000198125,0.000198125
53,103.47,1.21363,1.5361,1.35372,0.46639,0.3911,0.44587,0.24729,2.01548,2.24924,1.86776,0.0001775,0.0001775,0.0001775
54,105.277,1.23073,1.53624,1.35696,0.65786,0.3188,0.44776,0.24137,1.98726,2.26644,1.83368,0.000156875,0.000156875,0.000156875
55,106.838,1.25024,1.55167,1.36962,0.62195,0.34676,0.45772,0.2441,1.96631,2.24387,1.81833,0.00013625,0.00013625,0.00013625
56,108.431,1.27633,1.49202,1.3494,0.70825,0.32098,0.46985,0.25218,1.89844,2.2506,1.79018,0.000115625,0.000115625,0.000115625
57,110.019,1.19525,1.48185,1.32618,0.67174,0.34539,0.44614,0.23319,1.87055,2.24292,1.77373,9.5e-05,9.5e-05,9.5e-05
58,111.63,1.22641,1.54209,1.36153,0.62801,0.35978,0.4503,0.22879,1.87934,2.19852,1.78366,7.4375e-05,7.4375e-05,7.4375e-05
59,113.189,1.17561,1.45058,1.27791,0.63546,0.37477,0.44619,0.2268,1.89084,2.18059,1.79268,5.375e-05,5.375e-05,5.375e-05
60,115.523,1.15814,1.43057,1.2701,0.55335,0.38951,0.44837,0.23124,1.90285,2.15671,1.80414,3.3125e-05,3.3125e-05,3.3125e-05
